C:\Users\dstep\OneDrive\dataset\rose\0341.jpg;0
C:\Users\dstep\OneDrive\dataset\rose\0893.jpg;0
C:\Users\dstep\OneDrive\dataset\rose\1000.jpg;0
C:\Users\dstep\OneDrive\dataset\tulip\0396.jpg;1
C:\Users\dstep\OneDrive\dataset\tulip\0336.jpg;1
C:\Users\dstep\OneDrive\dataset\tulip\0520.jpg;1
C:\Users\dstep\OneDrive\dataset\rose\0280.jpg;0
C:\Users\dstep\OneDrive\dataset\tulip\0340.jpg;1
C:\Users\dstep\OneDrive\dataset\rose\0407.jpg;0
C:\Users\dstep\OneDrive\dataset\rose\0049.jpg;0
C:\Users\dstep\OneDrive\dataset\rose\0120.jpg;0
C:\Users\dstep\OneDrive\dataset\rose\0086.jpg;0
C:\Users\dstep\OneDrive\dataset\rose\0132.jpg;0
C:\Users\dstep\OneDrive\dataset\tulip\0260.jpg;1
C:\Users\dstep\OneDrive\dataset\tulip\0194.jpg;1
C:\Users\dstep\OneDrive\dataset\rose\0878.jpg;0
C:\Users\dstep\OneDrive\dataset\tulip\0069.jpg;1
C:\Users\dstep\OneDrive\dataset\rose\0493.jpg;0
C:\Users\dstep\OneDrive\dataset\rose\0842.jpg;0
C:\Users\dstep\OneDrive\dataset\rose\0193.jpg;0
C:\Users\dstep\OneDrive\dataset\rose\0885.jpg;0
C:\Users\dstep\OneDrive\dataset\rose\0325.jpg;0
C:\Users\dstep\OneDrive\dataset\tulip\0942.jpg;1
C:\Users\dstep\OneDrive\dataset\tulip\0262.jpg;1
C:\Users\dstep\OneDrive\dataset\rose\0647.jpg;0
C:\Users\dstep\OneDrive\dataset\tulip\0102.jpg;1
C:\Users\dstep\OneDrive\dataset\tulip\0623.jpg;1
C:\Users\dstep\OneDrive\dataset\tulip\0294.jpg;1
C:\Users\dstep\OneDrive\dataset\tulip\0619.jpg;1
C:\Users\dstep\OneDrive\dataset\rose\0044.jpg;0
C:\Users\dstep\OneDrive\dataset\rose\0817.jpg;0
C:\Users\dstep\OneDrive\dataset\tulip\0578.jpg;1
C:\Users\dstep\OneDrive\dataset\rose\0531.jpg;0
C:\Users\dstep\OneDrive\dataset\tulip\0371.jpg;1
C:\Users\dstep\OneDrive\dataset\tulip\0796.jpg;1
C:\Users\dstep\OneDrive\dataset\rose\0942.jpg;0
C:\Users\dstep\OneDrive\dataset\tulip\0908.jpg;1
C:\Users\dstep\OneDrive\dataset\tulip\0527.jpg;1
C:\Users\dstep\OneDrive\dataset\tulip\1014.jpg;1
C:\Users\dstep\OneDrive\dataset\rose\0626.jpg;0
C:\Users\dstep\OneDrive\dataset\tulip\0869.jpg;1
C:\Users\dstep\OneDrive\dataset\tulip\0219.jpg;1
C:\Users\dstep\OneDrive\dataset\rose\0307.jpg;0
C:\Users\dstep\OneDrive\dataset\rose\0756.jpg;0
C:\Users\dstep\OneDrive\dataset\tulip\0864.jpg;1
C:\Users\dstep\OneDrive\dataset\rose\0121.jpg;0
C:\Users\dstep\OneDrive\dataset\tulip\0589.jpg;1
C:\Users\dstep\OneDrive\dataset\rose\0920.jpg;0
C:\Users\dstep\OneDrive\dataset\rose\0844.jpg;0
C:\Users\dstep\OneDrive\dataset\tulip\0227.jpg;1
C:\Users\dstep\OneDrive\dataset\tulip\0598.jpg;1
C:\Users\dstep\OneDrive\dataset\rose\0652.jpg;0
